#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
123.99999999989241,-32508.109413536382,-27420.68140501913,306.01497759174566
124.19999999989194,-32179.016803123377,-27245.493440477963,296.75742609836107
124.39999999989148,-32326.269130144763,-27239.197748251987,305.99352606686625
124.59999999989101,-32195.37157237553,-27199.454914395,300.51045864091213
124.79999999989055,-32158.789858208824,-27118.598733249906,303.1736216375373
124.99999999989008,-32237.18915964759,-27137.308007375366,306.76404932322674
125.19999999988961,-32088.858457404393,-27295.267421373137,288.3403265892374
125.39999999988915,-32133.632701492344,-27247.37747663207,293.9141901644261
125.59999999988868,-32125.00306401495,-27217.339836689178,295.20190753041055
125.79999999988821,-32226.71466856537,-27191.564190843084,302.8704205802284
125.99999999988775,-32270.116879881185,-27295.377625311085,299.23661208834284
126.19999999988728,-32306.41785938709,-27251.011077002127,304.08886192368567
126.39999999988682,-32462.076839034155,-27338.914542264945,308.1644384588818
126.59999999988635,-32437.723613528564,-27448.55552870597,300.10452376375133
126.79999999988588,-32327.281688344345,-27492.936760379147,290.79172271829566
126.99999999988542,-32463.730992601195,-27409.60762901226,304.01166272333353
127.19999999988495,-32493.077358169772,-27465.6539624774,302.40562720521143
127.39999999988449,-32490.473566268367,-27639.062677339447,291.8182610109559
127.59999999988402,-32622.151995891094,-27717.764106044866,295.0048920004159
127.79999999988355,-32627.3884143655,-27920.810496500024,283.10638178233114
127.99999999988309,-32748.653843917855,-27852.506722731952,294.5091997502836
128.19999999988403,-32830.87464361626,-27814.86379468406,301.71914864763164
128.39999999988498,-32819.84985086118,-27648.924713438668,311.03743137156164
128.59999999988594,-32514.605117271683,-27467.614057734172,303.5826459665715
128.7999999998869,-32406.808242271683,-27516.772172965604,294.14161255279686
128.99999999988785,-32522.27009919606,-27363.043767705967,310.3337339768729
129.1999999998888,-32272.71235020671,-27447.070692710142,290.26821042230387
129.39999999988976,-32426.285703443486,-27429.102526451024,300.5866412987122
129.5999999998907,-32416.200443199166,-27457.57965299886,298.267066867324
129.79999999989167,-32344.24475164563,-27349.99304442611,300.4103098291807
129.99999999989262,-32476.230616082525,-27611.84554919516,292.59867358300164
130.19999999989358,-32573.88010122173,-27530.195672150352,303.3837481254023
130.39999999989453,-32367.621122897457,-27381.66976569206,299.9110336882068
130.5999999998955,-32463.126394715742,-27477.66964216961,299.88128261684636
130.79999999989644,-32380.012105833448,-27348.114362704277,302.67476464132216
130.9999999998974,-32156.837052970717,-27335.376707324584,290.0166994328465
131.19999999989835,-32387.061645017617,-27451.120472131908,296.9028603227405
131.3999999998993,-32366.048600559967,-27439.82183691245,296.3185268008969
131.59999999990026,-32292.918507742026,-27255.464934863412,303.008954552891
131.79999999990122,-32345.580650500808,-27240.307021321583,307.0884133627958
131.99999999990217,-32275.933707616554,-27263.151666901453,301.5249319093211
132.19999999990313,-32280.610831979982,-27369.21185276503,295.42661754669814
132.39999999990408,-32340.011824557063,-27385.026117935282,298.0484121722669
132.59999999990504,-32354.170275312994,-27386.754354097327,298.7961046868421
132.799999999906,-32419.408044520766,-27402.350677362643,301.78209799078076
132.99999999990695,-32656.550767809764,-27615.777408736438,303.20864372712276
133.1999999999079,-32539.451328130846,-27652.629132835602,293.9482941251431
133.39999999990886,-32569.474420825572,-27616.612821477553,297.92064453826913
133.5999999999098,-32557.132600815094,-27647.711122103094,295.3076684881394
133.79999999991077,-32584.952913315094,-27661.30750221858,296.16325530777135
133.99999999991172,-32513.883263526135,-27620.143261673977,294.3644085969261
134.19999999991268,-32612.440955343103,-27520.750222073315,306.2713856662076
134.39999999991363,-32592.537249798712,-27632.102436307643,298.3761825728915
134.5999999999146,-32557.517260884604,-27663.83260390113,294.36107953581273
134.79999999991554,-32663.47864440203,-27692.627392135822,299.0027440245764
134.9999999999165,-32696.20275069255,-27793.573334912246,294.89911764823285
135.19999999991745,-32625.09121233385,-27725.75340968903,294.70112311775296
135.3999999999184,-32682.167338414205,-27505.30631402656,311.3944821865474
135.59999999991936,-32591.89367593985,-27666.38246547265,296.27548540747114
135.79999999992032,-32482.444118066633,-27574.028880349302,295.2471418694001
135.99999999992127,-32655.428384798346,-27560.922275886638,306.44073393266603
136.19999999992223,-32421.42164050066,-27589.83114551776,290.62604022687856
136.39999999992318,-32239.803592728276,-27335.38862069446,295.00652102691305
136.59999999992414,-32394.95212310829,-27401.74938435384,300.347213101169
136.7999999999251,-32416.06950444865,-27475.026569191803,297.2097375296648
136.99999999992605,-32629.949611422984,-27689.675457470497,297.1634943998883
137.199999999927,-32713.73150819051,-27837.156507110456,293.3319129394261
137.39999999992796,-32597.199104112835,-27768.191365409904,290.4706842977497
137.5999999999289,-32861.191291612835,-27821.26348398885,303.15778277982497
137.79999999992987,-32725.339712290675,-27912.445514879306,289.50143520586965
137.99999999993082,-32739.694609590806,-27811.350763419236,296.4458718876625
138.19999999993178,-32589.265025347646,-27777.78908383957,289.41612538964444
138.39999999993273,-32784.54708458696,-27735.015184259304,303.73548062804633
138.5999999999337,-32640.56030733834,-27694.949873757985,297.4844781048196
138.79999999993464,-32838.69133669761,-27749.537221143662,306.1188050277843
138.9999999999356,-32619.450235453056,-27806.861385135766,289.4830682070647
139.19999999993655,-32789.05480862918,-27827.496505242278,298.44376185553153
139.3999999999375,-32825.62512112918,-27810.407981685858,301.6714060572606
139.59999999993846,-32619.186325385526,-27844.344473703124,287.2125403642978
139.79999999993942,-32792.38594900974,-27784.241631313867,301.24596723337277
139.99999999994037,-32706.44063650974,-27770.931345166347,296.87688212309354
140.19999999994133,-32800.28054835944,-27835.011658873118,298.6669581189804
140.39999999994228,-32749.63719996295,-27773.671522688615,299.3103829045048
140.59999999994324,-32638.40407169913,-27741.908406308154,294.5301651078133
140.7999999999442,-32589.980990346405,-27646.157455895212,297.3769939505369
140.99999999994515,-32790.652575357,-27817.06037722726,299.16761524940875
141.1999999999461,-32744.73840509099,-27812.81003255234,296.6614855050075
141.39999999994706,-32319.73059259099,-27663.115207956405,280.1010746877675
